rel_path,suggested,duration,bpm_hint,bpm_audio,key,harmonic_ratio,parsed_instrument,parsed_tokens,is_vocal,is_drum,is_loop_word
07 One Shots/MBO_opera_02_A.wav,unchanged,7.3612471655328795,,,,,,mbo|opera|02|a,False,False,False
07 One Shots/MBO_shout_india_man_04.wav,unchanged,1.7592290249433107,,,,,,mbo|shout|india|man|04,False,False,False
07 One Shots/MODE_quotes_EndInSight.wav,unchanged,1.9490249433106577,,,,,,mode|quotes|endinsight,False,False,False
07 One Shots/MODE_quotes_EvilInItsTrueForm.wav,unchanged,4.0,,,,,,mode|quotes|evilinitstrueform,False,False,False
07 One Shots/MODE_quotes_SomethingInTheSounds.wav,unchanged,2.9755555555555557,,,,,,mode|quotes|somethinginthesounds,False,False,False
07 One Shots/MODE_quotes_TheEnd.wav,unchanged,2.115034013605442,,,,,,mode|quotes|theend,False,False,False
07 One Shots/MRB_phone_light_6.wav,unchanged,1.5459410430839002,,,,,,mrb|phone|light|6,False,False,False
07 One Shots/Mix_It_Up_Shout_PL.wav,unchanged,6.327437641723356,,,,,,mix|it|up|shout|pl,False,False,False
07 One Shots/NM1_SWOOSH_01.wav,unchanged,5.485714285714286,,,,,,nm1|swoosh|01,False,False,False
07 One Shots/NT_F_Reverse_05.wav,unchanged,10.285714285714286,,,,,,nt|f|reverse|05,False,False,False
07 One Shots/ORBIT_Reverse_Noise.wav,unchanged,0.4,,,,,,orbit|reverse|noise,False,False,False
07 One Shots/OS_FTK_Top_02.wav,unchanged,0.36727891156462583,,,,,,os|ftk|top|02,False,False,False
07 One Shots/OS_FTK_Top_15.wav,unchanged,0.14757369614512472,,,,,,os|ftk|top|15,False,False,False
07 One Shots/Party_People_Shout_PL.wav,unchanged,14.149455782312925,,,,,,party|people|shout|pl,False,False,False
07 One Shots/PoliceSiren_BW.4555.wav,unchanged,24.453333333333333,,,,,,policesiren|bw|4555,False,False,False
07 One Shots/Presenta_OMG.wav,unchanged,1.9249659863945578,,,,,,presenta|omg,False,False,False
07 One Shots/RARE_RFP2_Bongo_oneshot_fly.wav,unchanged,3.0,,,,,,rare|rfp2|bongo|oneshot|fly,False,False,False
07 One Shots/RKU_MTMD_CinematicRise_Oneshot_Smallju_F.wav,unchanged,25.6,,,,,,rku|mtmd|cinematicrise|oneshot|smallju|f,False,False,False
07 One Shots/RadioTuner_S011SF.582.wav,unchanged,0.7626666666666667,,,,,,radiotuner|s011sf|582,False,False,False
07 One Shots/Raving_Ebm.wav,unchanged,0.8643537414965986,,,,,,raving|ebm,False,False,False
07 One Shots/Rise.wav,unchanged,22.197687074829933,,,,,,rise,False,False,False
07 One Shots/Roots_Ebm.wav,unchanged,0.43578231292517006,,,,,,roots|ebm,False,False,False
07 One Shots/Rudeboy_247Long.wav,unchanged,9.585963718820862,,,,,,rudeboy|247long,False,False,False
07 One Shots/Rudeboy_BrapBrapBrap.wav,unchanged,1.0324263038548753,,,,,,rudeboy|brapbrapbrap,False,False,False
07 One Shots/Rudeboy_Can9x.wav,unchanged,2.522312925170068,,,,,,rudeboy|can9x,False,False,False
07 One Shots/Rudeboy_LikeABombaclat.wav,unchanged,18.29984126984127,,,,,,rudeboy|likeabombaclat,False,False,False
07 One Shots/Rudeboy_ReloadLong.wav,unchanged,8.25095238095238,,,,,,rudeboy|reloadlong,False,False,False
07 One Shots/SBR_melodic_stab_rollin_G#m.wav,unchanged,2.2,,,,,,sbr|melodic|stab|rollin|g#m,False,False,False
07 One Shots/SO_ORIC_shekere_1.wav,unchanged,0.848843537414966,,,,,,so|oric|shekere|1,False,False,False
07 One Shots/SPLC-0839_FX_Oneshot_Radio_Electromagnetic_Radio.wav,unchanged,21.168,,,,,fx,splc|0839|fx|oneshot|radio|electromagnetic|radio,False,False,False
07 One Shots/SPLC-0914_FX_Oneshot_Glass_Break_Water.wav,unchanged,1.8346666666666667,,,,,fx,splc|0914|fx|oneshot|glass|break|water,False,False,False
07 One Shots/SPLC-2053_FX_Oneshot_Dancehall_Siren_Police.wav,unchanged,5.248,,,,,fx,splc|2053|fx|oneshot|dancehall|siren|police,False,False,False
07 One Shots/SUVRadioButton_BW.62681.wav,unchanged,0.2826666666666667,,,,,,suvradiobutton|bw|62681,False,False,False
07 One Shots/Souljah_Bombaclat.wav,unchanged,1.8637414965986394,,,,,,souljah|bombaclat,False,False,False
07 One Shots/Souljah_BoomBa5x.wav,unchanged,3.1853514739229025,,,,,,souljah|boomba5x,False,False,False
07 One Shots/Souljah_Jump.wav,unchanged,0.7811791383219955,,,,,,souljah|jump,False,False,False
07 One Shots/StarShine_Ebm.wav,unchanged,0.8643537414965986,,,,,,starshine|ebm,False,False,False
07 One Shots/SwordWhipFencing_BW.59421.wav,unchanged,0.2613333333333333,,,,,,swordwhipfencing|bw|59421,False,False,False
07 One Shots/TA_USC_DISCO_STAB_JAZZY_F.wav,unchanged,1.25,,,,,,ta|usc|disco|stab|jazzy|f,False,False,False
07 One Shots/TRACK_04.wav,unchanged,15.737709750566893,,,,,,track|04,False,False,False
07 One Shots/TRFDC_Raw_Weather_10_Distant_Thunder_and_TV.wav,unchanged,119.24832199546485,,,,,,trfdc|raw|weather|10|distant|thunder|and|tv,False,False,False
07 One Shots/TS_AB_rattle_dry.wav,unchanged,0.3020634920634921,,,,,,ts|ab|rattle|dry,False,False,False
07 One Shots/TS_ADD_woodblock.wav,unchanged,0.11482993197278911,,,,,,ts|add|woodblock,False,False,False
07 One Shots/TelephoneReceiver_S011TE_16.wav,unchanged,0.6826666666666666,,,,,,telephonereceiver|s011te|16,False,False,False
07 One Shots/TimerClock_AP1.1323.wav,unchanged,1.824,,,,,,timerclock|ap1|1323,False,False,False
07 One Shots/Uplifter.wav,unchanged,15.0,,,,,,uplifter,False,False,False
07 One Shots/VDM_LM-1_TAMB_TL.wav,unchanged,0.5243310657596372,,,,,,vdm|lm|1|tamb|tl,False,False,False
07 One Shots/VDM_LM-2_TAMB_1_TL.wav,unchanged,0.20791383219954648,,,,,,vdm|lm|2|tamb|1|tl,False,False,False
07 One Shots/Varien_anime.wav,unchanged,2.0,,,,,,varien|anime,False,False,False
07 One Shots/Varien_arigatou.wav,unchanged,2.0,,,,,,varien|arigatou,False,False,False
07 One Shots/Varien_baaaaka.wav,unchanged,2.0,,,,,,varien|baaaaka,False,False,False
07 One Shots/Varien_baka.wav,unchanged,2.0,,,,,,varien|baka,False,False,False
07 One Shots/Varien_clear.wav,unchanged,2.0,,,,,,varien|clear,False,False,False
07 One Shots/Varien_daisuki.wav,unchanged,2.0,,,,,,varien|daisuki,False,False,False
07 One Shots/Varien_desu_ne.wav,unchanged,2.0,,,,,,varien|desu|ne,False,False,False
07 One Shots/Varien_desuuu.wav,unchanged,2.0,,,,,,varien|desuuu,False,False,False
07 One Shots/Varien_doji.wav,unchanged,2.0,,,,,,varien|doji,False,False,False
07 One Shots/Varien_doki_doki.wav,unchanged,2.0,,,,,,varien|doki|doki,False,False,False
07 One Shots/Varien_domo.wav,unchanged,2.0,,,,,,varien|domo,False,False,False
07 One Shots/Varien_don_mai.wav,unchanged,2.0,,,,,,varien|don|mai,False,False,False
07 One Shots/Varien_donuts.wav,unchanged,2.0,,,,,,varien|donuts,False,False,False
07 One Shots/Varien_ee_tto.wav,unchanged,2.0,,,,,,varien|ee|tto,False,False,False
07 One Shots/Varien_fight.wav,unchanged,1.0,,,,,,varien|fight,False,False,False
07 One Shots/Varien_fuwa_fuwa.wav,unchanged,2.0,,,,,,varien|fuwa|fuwa,False,False,False
07 One Shots/Varien_game_over.wav,unchanged,3.0,,,,,,varien|game|over,False,False,False
07 One Shots/Varien_gomen.wav,unchanged,2.0,,,,,,varien|gomen,False,False,False
07 One Shots/Varien_hai.wav,unchanged,1.0,,,,,,varien|hai,False,False,False
07 One Shots/Varien_hora.wav,unchanged,1.0,,,,,,varien|hora,False,False,False
07 One Shots/Varien_ice_cream.wav,unchanged,2.0,,,,,,varien|ice|cream,False,False,False
07 One Shots/Varien_ii_ne.wav,unchanged,1.0,,,,,,varien|ii|ne,False,False,False
07 One Shots/Varien_ijiwaru.wav,unchanged,2.0,,,,,,varien|ijiwaru,False,False,False
07 One Shots/Varien_ike.wav,unchanged,1.0,,,,,,varien|ike,False,False,False
07 One Shots/Varien_ike_ike_go_go.wav,unchanged,2.0,,,,,,varien|ike|ike|go|go,False,False,False
07 One Shots/Varien_irasshaimasei.wav,unchanged,2.0,,,,,,varien|irasshaimasei,False,False,False
07 One Shots/Varien_itte_mi_you.wav,unchanged,2.0,,,,,,varien|itte|mi|you,False,False,False
07 One Shots/Varien_jan_ken_pon.wav,unchanged,2.0,,,,,,varien|jan|ken|pon,False,False,False
07 One Shots/Varien_jiiiii.wav,unchanged,2.0,,,,,,varien|jiiiii,False,False,False
07 One Shots/Varien_jump.wav,unchanged,2.0,,,,,,varien|jump,False,False,False
07 One Shots/Varien_kakkoii.wav,unchanged,2.0,,,,,,varien|kakkoii,False,False,False
07 One Shots/Varien_kamisama.wav,unchanged,2.0,,,,,,varien|kamisama,False,False,False
07 One Shots/Varien_kanpai.wav,unchanged,2.0,,,,,,varien|kanpai,False,False,False
07 One Shots/Varien_kawaii.wav,unchanged,2.0,,,,,,varien|kawaii,False,False,False
07 One Shots/Varien_kira_kira.wav,unchanged,2.0,,,,,,varien|kira|kira,False,False,False
07 One Shots/Varien_kirai.wav,unchanged,1.0,,,,,,varien|kirai,False,False,False
07 One Shots/Varien_kono_yaro.wav,unchanged,2.0,,,,,,varien|kono|yaro,False,False,False
07 One Shots/Varien_kora.wav,unchanged,1.0,,,,,,varien|kora,False,False,False
07 One Shots/Varien_laser_beam.wav,unchanged,3.0,,,,,,varien|laser|beam,False,False,False
07 One Shots/Varien_maji.wav,unchanged,2.0,,,,,,varien|maji,False,False,False
07 One Shots/Varien_maji_de.wav,unchanged,2.0,,,,,,varien|maji|de,False,False,False
07 One Shots/Varien_me.wav,unchanged,1.0,,,,,,varien|me,False,False,False
07 One Shots/Varien_mero_mero.wav,unchanged,2.0,,,,,,varien|mero|mero,False,False,False
07 One Shots/Varien_minna.wav,unchanged,2.0,,,,,,varien|minna,False,False,False
07 One Shots/Varien_mode.wav,unchanged,2.0,,,,,,varien|mode,False,False,False
07 One Shots/Varien_moe_moe.wav,unchanged,2.0,,,,,,varien|moe|moe,False,False,False
07 One Shots/Varien_moshi_moshi.wav,unchanged,2.0,,,,,,varien|moshi|moshi,False,False,False
07 One Shots/Varien_music.wav,unchanged,2.0,,,,,,varien|music,False,False,False
07 One Shots/Varien_nani.wav,unchanged,1.0,,,,,,varien|nani,False,False,False
07 One Shots/Varien_nee.wav,unchanged,2.0,,,,,,varien|nee,False,False,False
07 One Shots/Varien_nippon.wav,unchanged,2.0,,,,,,varien|nippon,False,False,False
07 One Shots/Varien_nyan.wav,unchanged,1.0,,,,,,varien|nyan,False,False,False
07 One Shots/Varien_oishii.wav,unchanged,2.0,,,,,,varien|oishii,False,False,False
07 One Shots/Varien_omanju.wav,unchanged,2.0,,,,,,varien|omanju,False,False,False
07 One Shots/Varien_onegai.wav,unchanged,2.0,,,,,,varien|onegai,False,False,False
07 One Shots/Varien_onegaishimasu.wav,unchanged,2.0,,,,,,varien|onegaishimasu,False,False,False
07 One Shots/Varien_onigiri.wav,unchanged,2.0,,,,,,varien|onigiri,False,False,False
07 One Shots/Varien_ossu.wav,unchanged,2.0,,,,,,varien|ossu,False,False,False
07 One Shots/Varien_oyasumi.wav,unchanged,2.0,,,,,,varien|oyasumi,False,False,False
07 One Shots/Varien_paradise.wav,unchanged,2.0,,,,,,varien|paradise,False,False,False
07 One Shots/Varien_party.wav,unchanged,1.0,,,,,,varien|party,False,False,False
07 One Shots/Varien_peace.wav,unchanged,2.0,,,,,,varien|peace,False,False,False
07 One Shots/Varien_play.wav,unchanged,1.0,,,,,,varien|play,False,False,False
07 One Shots/Varien_pon_poko_pon.wav,unchanged,2.0,,,,,,varien|pon|poko|pon,False,False,False
07 One Shots/Varien_power_up.wav,unchanged,2.0,,,,,,varien|power|up,False,False,False
07 One Shots/Varien_ramen.wav,unchanged,2.0,,,,,,varien|ramen,False,False,False
07 One Shots/Varien_senpai_1.wav,unchanged,2.0,,,,,,varien|senpai|1,False,False,False
07 One Shots/Varien_senpai_2.wav,unchanged,2.0,,,,,,varien|senpai|2,False,False,False
07 One Shots/Varien_sore_sore.wav,unchanged,2.0,,,,,,varien|sore|sore,False,False,False
07 One Shots/Varien_start.wav,unchanged,2.0,,,,,,varien|start,False,False,False
07 One Shots/Varien_sugar_rush.wav,unchanged,2.0,,,,,,varien|sugar|rush,False,False,False
07 One Shots/Varien_sugoi.wav,unchanged,1.0,,,,,,varien|sugoi,False,False,False
07 One Shots/Varien_super.wav,unchanged,2.0,,,,,,varien|super,False,False,False
07 One Shots/Varien_tadaima.wav,unchanged,2.0,,,,,,varien|tadaima,False,False,False
07 One Shots/Varien_taikutsuu.wav,unchanged,2.0,,,,,,varien|taikutsuu,False,False,False
07 One Shots/Varien_ukeru.wav,unchanged,2.0,,,,,,varien|ukeru,False,False,False
07 One Shots/Varien_ultra.wav,unchanged,2.0,,,,,,varien|ultra,False,False,False
07 One Shots/Varien_waai.wav,unchanged,2.0,,,,,,varien|waai,False,False,False
07 One Shots/Varien_waifu.wav,unchanged,2.0,,,,,,varien|waifu,False,False,False
07 One Shots/Varien_wakannai.wav,unchanged,2.0,,,,,,varien|wakannai,False,False,False
07 One Shots/Varien_waku_waku.wav,unchanged,2.0,,,,,,varien|waku|waku,False,False,False
07 One Shots/Varien_wan_wan.wav,unchanged,2.0,,,,,,varien|wan|wan,False,False,False
07 One Shots/Varien_ya-ho.wav,unchanged,2.0,,,,,,varien|ya|ho,False,False,False
07 One Shots/Varien_yabai_jan.wav,unchanged,1.0,,,,,,varien|yabai|jan,False,False,False
07 One Shots/Varien_yamete.wav,unchanged,2.0,,,,,,varien|yamete,False,False,False
07 One Shots/Varien_yappari.wav,unchanged,2.0,,,,,,varien|yappari,False,False,False
07 One Shots/Varien_yatta.wav,unchanged,2.0,,,,,,varien|yatta,False,False,False
07 One Shots/Varien_zurui.wav,unchanged,1.0,,,,,,varien|zurui,False,False,False
07 One Shots/WAVE_RACER_fall_subdrop_01.wav,unchanged,4.600589569160998,,,,,,wave|racer|fall|subdrop|01,False,False,False
07 One Shots/WhipSpinTwirl_S08FO.2823.wav,unchanged,1.4666666666666666,,,,,,whipspintwirl|s08fo|2823,False,False,False
07 One Shots/White_Noise.wav,unchanged,6.866077097505669,,,,,,white|noise,False,False,False
07 One Shots/Wind_06.wav,unchanged,34.4827664399093,,,,,,wind|06,False,False,False
07 One Shots/You_Get_Outta_Here.wav,unchanged,2.5,,,,,,you|get|outta|here,False,False,False
07 One Shots/ah_snr_tamb.wav,unchanged,0.16403628117913832,,,,,,ah|snr|tamb,False,False,False
07 One Shots/ath_top125_atrakd.wav,unchanged,3.84,,,,,,ath|top125|atrakd,False,False,False
07 One Shots/bh_drm122_blok_top.wav,unchanged,3.9344444444444444,,,,,,bh|drm122|blok|top,False,False,False
07 One Shots/break_bongo.wav,unchanged,1.983469387755102,,,,,,break|bongo,False,False,False
07 One Shots/brt_top128_speed.wav,unchanged,3.75,,,,,,brt|top128|speed,False,False,False
07 One Shots/ct_drm128_dingle_top.wav,unchanged,7.5,,,,,,ct|drm128|dingle|top,False,False,False
07 One Shots/ct_drm140_dillon_ful.wav,unchanged,6.857142857142857,,,,,,ct|drm140|dillon|ful,False,False,False
07 One Shots/ct_snr_pump.wav,unchanged,0.07058956916099773,,,,,,ct|snr|pump,False,False,False
07 One Shots/dmh_tamb_brittle.wav,unchanged,0.33145124716553287,,,,,,dmh|tamb|brittle,False,False,False
07 One Shots/ff_mus100_alanturing1_full.wav,unchanged,9.6,,,,,,ff|mus100|alanturing1|full,False,False,False
07 One Shots/gh_drm120_smokesome_top.wav,unchanged,4.0,,,,,,gh|drm120|smokesome|top,False,False,False
07 One Shots/gr_bs138_collen_B.wav,unchanged,3.4782766439909296,,,,,,gr|bs138|collen|b,False,False,False
07 One Shots/hn_cym_mumma.wav,unchanged,2.0,,,,,,hn|cym|mumma,False,False,False
07 One Shots/hn_mus125_smoovin2_Fm.wav,unchanged,3.84,,,,,,hn|mus125|smoovin2|fm,False,False,False
07 One Shots/hn_top125_housemeister.wav,unchanged,3.84,,,,,,hn|top125|housemeister,False,False,False
07 One Shots/jb_noise126_alarm.wav,unchanged,15.238095238095237,,,,,,jb|noise126|alarm,False,False,False
07 One Shots/jc_th_cowbell_high_muted.wav,unchanged,0.8275736961451248,,,,,,jc|th|cowbell|high|muted,False,False,False
07 One Shots/lp_ens125_songo3_2.wav,unchanged,3.84,,,,,,lp|ens125|songo3|2,False,False,False
07 One Shots/raf_mus123_dory_hiss.wav,unchanged,7.804897959183673,,,,,,raf|mus123|dory|hiss,False,False,False
07 One Shots/rgd_drm130_bashment_clpsnr.wav,unchanged,7.384625850340136,,,,,,rgd|drm130|bashment|clpsnr,False,False,False
07 One Shots/rgd_drm130_seiko_top.wav,unchanged,7.384625850340136,,,,,,rgd|drm130|seiko|top,False,False,False
07 One Shots/rgd_drm130_tunneled_clpsnr.wav,unchanged,7.384625850340136,,,,,,rgd|drm130|tunneled|clpsnr,False,False,False
07 One Shots/smp03_top125_wooden.wav,unchanged,3.84,,,,,,smp03|top125|wooden,False,False,False
07 One Shots/th_hiptrop_predrop_Ebm.wav,unchanged,2.526326530612245,,,,,,th|hiptrop|predrop|ebm,False,False,False
